Date,Open,High,Low,Close
12/19/2025,"6,792.62","6,840.02","6,792.62","6,834.50"
12/18/2025,"6,778.06","6,816.13","6,758.50","6,774.76"
12/17/2025,"6,802.88","6,812.26","6,720.43","6,721.43"
12/16/2025,"6,800.12","6,819.27","6,759.74","6,800.26"
12/15/2025,"6,860.19","6,861.59","6,801.49","6,816.51"
12/12/2025,"6,886.85","6,899.85","6,801.79","6,827.41"
12/11/2025,"6,861.30","6,903.46","6,833.45","6,901.00"
12/10/2025,"6,833.49","6,900.67","6,824.69","6,886.68"
12/09/2025,"6,840.61","6,864.92","6,837.43","6,840.51"
12/08/2025,"6,875.20","6,878.27","6,827.19","6,846.51"
12/05/2025,"6,866.32","6,895.78","6,858.29","6,870.40"
12/04/2025,"6,866.47","6,866.47","6,827.12","6,857.12"
12/03/2025,"6,815.29","6,862.42","6,810.43","6,849.72"
12/02/2025,"6,830.96","6,851.55","6,806.71","6,829.37"
12/01/2025,"6,812.30","6,843.65","6,799.94","6,812.63"
11/28/2025,"6,822.52","6,850.86","6,819.75","6,849.09"
11/26/2025,"6,793.55","6,831.44","6,783.87","6,812.61"
11/25/2025,"6,697.03","6,776.40","6,659.98","6,765.88"
11/24/2025,"6,636.54","6,715.75","6,630.70","6,705.12"
11/21/2025,"6,555.77","6,660.05","6,521.92","6,602.99"
11/20/2025,"6,737.93","6,770.35","6,534.05","6,538.76"
11/19/2025,"6,625.84","6,689.75","6,603.50","6,642.16"
11/18/2025,"6,641.19","6,666.63","6,574.32","6,617.32"
11/17/2025,"6,713.61","6,754.50","6,638.90","6,672.41"
11/14/2025,"6,672.14","6,774.31","6,646.87","6,734.11"
11/13/2025,"6,826.47","6,828.05","6,724.72","6,737.49"
11/12/2025,"6,867.77","6,869.91","6,829.62","6,850.92"
11/11/2025,"6,815.64","6,855.13","6,806.87","6,846.61"
11/10/2025,"6,785.36","6,841.32","6,770.56","6,832.43"
11/07/2025,"6,696.18","6,730.11","6,631.44","6,728.80"
11/06/2025,"6,787.59","6,796.68","6,707.51","6,720.32"
11/05/2025,"6,769.77","6,829.78","6,763.11","6,796.29"
11/04/2025,"6,788.52","6,820.21","6,766.71","6,771.55"
11/03/2025,"6,882.32","6,882.32","6,820.62","6,851.97"
10/31/2025,"6,879.17","6,879.17","6,814.26","6,840.20"
10/30/2025,"6,860.50","6,880.75","6,820.69","6,822.34"
10/29/2025,"6,910.95","6,920.34","6,851.91","6,890.59"
10/28/2025,"6,897.74","6,911.30","6,870.73","6,890.89"
10/27/2025,"6,845.46","6,877.28","6,843.94","6,875.16"
10/24/2025,"6,772.07","6,807.11","6,772.07","6,791.69"
10/23/2025,"6,703.65","6,749.53","6,700.14","6,738.44"
10/22/2025,"6,741.34","6,741.75","6,655.69","6,699.40"
10/21/2025,"6,736.75","6,752.16","6,722.03","6,735.35"
10/20/2025,"6,690.05","6,744.35","6,690.05","6,735.13"
10/17/2025,"6,613.27","6,678.88","6,603.76","6,664.01"
10/16/2025,"6,689.02","6,709.34","6,593.99","6,629.07"
10/15/2025,"6,688.27","6,724.12","6,612.11","6,671.06"
10/14/2025,"6,602.49","6,680.70","6,555.07","6,644.31"
10/13/2025,"6,622.53","6,668.68","6,620.71","6,654.72"
10/10/2025,"6,740.49","6,762.40","6,550.78","6,552.51"
10/09/2025,"6,760.50","6,764.58","6,716.17","6,735.11"
10/08/2025,"6,723.87","6,755.64","6,718.09","6,753.72"
10/07/2025,"6,746.14","6,754.49","6,699.96","6,714.59"
10/06/2025,"6,733.86","6,749.52","6,717.78","6,740.28"
